,Model Run,Model,Feature Variables,Explained Variance Score,MAE,MSE,R2_score,N_Neighbors,max_depth
0,SimpleLinear_Year,Simple Linear,Year,0.030715644475123538,608.6294850495675,742005.5005628854,0.030709820545047232,,
1,SimpleLinear_Price,Simple Linear,Price,0.1541558950698827,564.9381889688466,647511.2005030985,0.15414879369678125,,
2,MultipleLinear_Year_Price,Multivariable Linear,"Year, Price",0.21080228305646045,532.9167982719696,604146.1307843181,0.2107970748455149,,
3,MultipleLinear_Year_Price_X_Y,Multivariable Linear,"Year, Price, X, Y",0.21690831163642832,531.9332870254897,599471.6685177921,0.2169033777849665,,
4,Lasso_Year_Price,Lasso,"Year, Price",0.21080211368912627,532.9171940240049,604146.2606910651,0.21079690514686175,,
5,Lasso_Year_Price_X_Y,Lasso,"Year, Price, X, Y",0.2169081360529184,531.9336933569432,599471.8031769652,0.21690320187816536,,
6,kNN: n_neighbours=3.00,kNN,"['Mean_price_paid', 'Year']",-0.0033305682004753927,614.8896193510859,768100.1487891269,-0.003377913633257457,3.0,
7,kNN: n_neighbours=4.00,kNN,"['Mean_price_paid', 'Year']",0.057852216732736,595.9270328772195,721257.110341833,0.05781367741067577,4.0,
8,kNN: n_neighbours=5.00,kNN,"['Mean_price_paid', 'Year']",0.0906431141616072,585.1574292107329,696149.9925357349,0.09061138942953262,5.0,
9,kNN: n_neighbours=6.00,kNN,"['Mean_price_paid', 'Year']",0.1094511176945554,579.3026350460736,681764.2799680581,0.10940360849762976,6.0,
10,kNN: n_neighbours=7.00,kNN,"['Mean_price_paid', 'Year']",0.1242966931472711,574.2241041443988,670388.1074690007,0.12426443132813025,7.0,
11,kNN: n_neighbours=8.00,kNN,"['Mean_price_paid', 'Year']",0.1350706456090317,570.7818753458962,662138.9805435507,0.1350403591505661,8.0,
12,kNN: n_neighbours=9.00,kNN,"['Mean_price_paid', 'Year']",0.1429569415765004,568.2322746728278,656095.5545776354,0.14293495485717644,9.0,
13,kNN: n_neighbours=10.00,kNN,"['Mean_price_paid', 'Year']",0.14886071453962013,566.851963701417,651570.9790224622,0.1488454590899675,10.0,
14,kNN: n_neighbours=11.00,kNN,"['Mean_price_paid', 'Year']",0.15434175025668573,565.0891912361055,647370.7867757499,0.15433221773727213,11.0,
15,kNN: n_neighbours=12.00,kNN,"['Mean_price_paid', 'Year']",0.15799132331001894,564.1609963967232,644574.7931979625,0.15798465577811227,12.0,
16,kNN: n_neighbours=13.00,kNN,"['Mean_price_paid', 'Year']",0.1602781918066265,563.4705341839214,642822.6694980462,0.16027347478852494,13.0,
17,kNN: n_neighbours=14.00,kNN,"['Mean_price_paid', 'Year']",0.16363783926692588,562.5101025211247,640250.0783854921,0.16363407966175048,14.0,
18,kNN: n_neighbours=15.00,kNN,"['Mean_price_paid', 'Year']",0.16594356361165108,561.7515568618601,638483.345257861,0.1659419831328589,15.0,
19,kNN: n_neighbours=3.00,kNN,"['Mean_price_paid', 'Year']",-0.0033305682004753927,614.8896193510859,768100.1487891269,-0.003377913633257457,3.0,
20,kNN: n_neighbours=4.00,kNN,"['Mean_price_paid', 'Year']",0.057852216732736,595.9270328772195,721257.110341833,0.05781367741067577,4.0,
21,kNN: n_neighbours=5.00,kNN,"['Mean_price_paid', 'Year']",0.0906431141616072,585.1574292107329,696149.9925357349,0.09061138942953262,5.0,
22,kNN: n_neighbours=6.00,kNN,"['Mean_price_paid', 'Year']",0.1094511176945554,579.3026350460736,681764.2799680581,0.10940360849762976,6.0,
23,kNN: n_neighbours=7.00,kNN,"['Mean_price_paid', 'Year']",0.1242966931472711,574.2241041443988,670388.1074690007,0.12426443132813025,7.0,
24,kNN: n_neighbours=8.00,kNN,"['Mean_price_paid', 'Year']",0.1350706456090317,570.7818753458962,662138.9805435507,0.1350403591505661,8.0,
25,kNN: n_neighbours=9.00,kNN,"['Mean_price_paid', 'Year']",0.1429569415765004,568.2322746728278,656095.5545776354,0.14293495485717644,9.0,
26,kNN: n_neighbours=10.00,kNN,"['Mean_price_paid', 'Year']",0.14886071453962013,566.851963701417,651570.9790224622,0.1488454590899675,10.0,
27,kNN: n_neighbours=11.00,kNN,"['Mean_price_paid', 'Year']",0.15434175025668573,565.0891912361055,647370.7867757499,0.15433221773727213,11.0,
28,kNN: n_neighbours=12.00,kNN,"['Mean_price_paid', 'Year']",0.15799132331001894,564.1609963967232,644574.7931979625,0.15798465577811227,12.0,
29,kNN: n_neighbours=13.00,kNN,"['Mean_price_paid', 'Year']",0.1602781918066265,563.4705341839214,642822.6694980462,0.16027347478852494,13.0,
30,kNN: n_neighbours=14.00,kNN,"['Mean_price_paid', 'Year']",0.16363783926692588,562.5101025211247,640250.0783854921,0.16363407966175048,14.0,
31,kNN: n_neighbours=15.00,kNN,"['Mean_price_paid', 'Year']",0.16594356361165108,561.7515568618601,638483.345257861,0.1659419831328589,15.0,
32,kNN: n_neighbours=3.00,kNN,"['Mean_price_paid', 'Year']",-0.057895919782324334,626.5828233021416,809862.1663787628,-0.05793210965087625,3.0,
33,kNN: n_neighbours=4.00,kNN,"['Mean_price_paid', 'Year']",0.0007305073200615242,608.8095762230439,764970.4221874883,0.0007104836320538378,4.0,
34,kNN: n_neighbours=5.00,kNN,"['Mean_price_paid', 'Year']",0.0350902665795505,597.6487456890281,738664.1819026159,0.03507462291022079,5.0,
35,kNN: n_neighbours=6.00,kNN,"['Mean_price_paid', 'Year']",0.05662146824756864,590.8367270152103,722186.3686287402,0.056599776798088475,6.0,
36,kNN: n_neighbours=7.00,kNN,"['Mean_price_paid', 'Year']",0.0724628455933094,585.5066132854997,710054.6062036366,0.07244763529672882,7.0,
37,kNN: n_neighbours=8.00,kNN,"['Mean_price_paid', 'Year']",0.08488629066498854,581.5989057803063,700545.1164758097,0.08486998930598888,8.0,
38,kNN: n_neighbours=9.00,kNN,"['Mean_price_paid', 'Year']",0.09408379673236301,578.5164884786234,693502.2850085135,0.09407011972500612,9.0,
39,kNN: n_neighbours=10.00,kNN,"['Mean_price_paid', 'Year']",0.10129770399021576,576.4679359491847,687977.3628185532,0.1012873880834192,10.0,
40,kNN: n_neighbours=11.00,kNN,"['Mean_price_paid', 'Year']",0.10775237817198646,574.4077186784484,683034.9363654526,0.10774373567118613,11.0,
41,kNN: n_neighbours=12.00,kNN,"['Mean_price_paid', 'Year']",0.11258033804777147,572.8550314211044,679337.6965819654,0.11257348182604032,12.0,
42,kNN: n_neighbours=13.00,kNN,"['Mean_price_paid', 'Year']",0.1166700052876063,571.5847866474651,676206.6657192833,0.11666358286230738,13.0,
43,kNN: n_neighbours=14.00,kNN,"['Mean_price_paid', 'Year']",0.12060848501752365,570.3762123600221,673191.5541888401,0.12060225716351257,14.0,
